khoảng cách trên,khoảng cách dưới
0.578,0.855,08_02_42
0.675,0.807,08_02_43
0.694,0.769,08_02_45
0.702,0.751,08_02_46
0.578,0.764,08_02_48
0.636,0.846,08_02_50
0.655,0.822,08_02_52
0.615,0.85,08_02_54
0.625,0.791,08_02_56
0.659,0.755,08_02_57
0.644,0.818,08_02_59
0.673,0.936,08_03_01
0.647,0.746,08_03_03
0.603,0.784,08_03_04
0.65,0.824,08_03_06
0.642,0.768,08_03_08
0.585,0.802,08_03_10
0.651,0.732,08_03_12
0.599,0.764,08_03_14
0.711,0.772,08_03_15
0.613,0.718,08_03_17
0.649,0.753,08_03_19
0.568,0.792,08_03_20
0.618,0.853,08_03_23
0.627,0.808,08_03_24
0.717,0.807,08_03_26
0.644,0.769,08_03_28
0.618,0.784,08_03_29
0.67,0.734,08_03_31
0.625,0.848,08_03_53
0.625,0.779,08_03_54
0.598,0.832,08_03_56
0.632,0.779,08_03_58
0.616,0.727,08_04_00
0.733,0.74,08_04_01
0.66,0.78,08_04_03
0.644,0.892,08_04_04
0.634,0.814,08_04_06
0.659,0.789,08_04_07
0.609,0.802,08_04_09
0.687,0.803,08_04_10
0.599,0.831,08_04_12
0.666,0.789,08_04_13
0.636,0.758,08_04_15
0.641,0.786,08_04_16
0.663,0.759,08_04_18
0.592,0.821,08_04_19
0.669,0.798,08_04_21
0.661,0.825,08_04_22
0.655,0.781,08_04_24
0.632,0.78,08_04_25
0.677,0.751,08_04_27
0.642,0.889,08_04_28
0.612,0.861,08_04_30
0.679,0.804,08_04_31
0.651,0.797,08_04_33
0.71,0.768,08_04_35
0.631,0.828,08_04_37
0.643,0.795,08_04_38
0.672,0.782,08_04_40
0.646,0.849,08_04_42
0.69,0.73,08_04_43
0.649,0.796,08_04_45
0.638,0.785,08_04_47
0.625,0.836,08_04_49
0.593,0.838,08_04_51
0.64,0.79,08_04_53
0.599,0.799,08_04_54
0.735,0.795,08_04_56
0.669,0.791,08_04_57
0.68,0.756,08_04_59
0.659,0.811,08_05_00
0.647,0.789,08_05_02
0.688,0.742,08_05_04
0.6,0.795,08_05_05
0.666,0.76,08_05_07
0.638,0.885,08_05_08
0.725,0.821,08_05_20
0.662,0.819,08_05_21
0.665,0.789,08_05_23
0.638,0.768,08_05_25
0.639,0.845,08_05_26
0.63,0.828,08_05_28
