khoảng cách trên,khoảng cách dưới
0.686,0.905,08_08_37
0.646,0.879,08_08_39
0.645,0.851,08_08_40
0.623,0.691,08_09_04
0.611,0.716,08_09_06
0.604,0.673,08_09_07
0.699,0.719,08_09_09
0.706,0.758,08_09_11
0.65,0.721,08_09_12
0.701,0.771,08_09_14
0.713,0.72,08_09_15
0.661,0.699,08_09_17
0.738,0.737,08_10_23
0.726,0.716,08_10_25
0.645,0.705,08_10_26
0.688,0.646,08_10_28
0.702,0.669,08_10_29
0.663,0.796,08_10_31
0.717,0.713,08_10_33
0.715,0.687,08_10_34
0.643,0.749,08_10_36
0.736,0.698,08_10_37
0.715,0.746,08_10_55
0.649,0.784,08_10_56
0.713,0.755,08_10_58
0.691,0.677,08_11_00
0.65,0.769,08_11_01
0.636,0.694,08_11_03
0.668,0.735,08_11_05
0.658,0.684,08_11_07
0.735,0.75,08_11_08
0.653,0.744,08_11_10
0.703,0.731,08_11_12
0.734,0.724,08_11_13
0.673,0.739,08_11_35
0.677,0.672,08_11_37
0.672,0.708,08_11_38
0.696,0.707,08_11_40
0.648,0.655,08_11_42
0.67,0.755,08_11_43
0.638,0.73,08_11_45
0.687,0.674,08_11_46
0.716,0.729,08_11_48
0.642,0.745,08_11_50
0.66,0.745,08_11_51
0.634,0.719,08_11_53
0.711,0.781,08_11_54
0.695,0.812,08_11_56
0.73,0.664,08_11_58
0.735,0.75,08_11_59
0.661,0.73,08_12_01
0.623,0.745,08_12_02
0.687,0.812,08_12_04
0.667,0.813,08_12_06
0.663,0.829,08_12_07
0.705,0.736,08_12_09
0.716,0.714,08_12_10
0.721,0.666,08_12_12
0.649,0.732,08_12_14
0.671,0.726,08_12_15
0.746,0.752,08_12_17
0.662,0.755,08_12_18
0.657,0.67,08_12_20
0.62,0.739,08_12_22
0.713,0.751,08_12_23
0.619,0.752,08_12_25
0.682,0.678,08_12_41
0.61,0.665,08_12_42
0.704,0.806,08_12_44
0.689,0.728,08_12_46
0.701,0.682,08_12_47
0.649,0.731,08_12_49
0.602,0.806,08_12_50
0.639,0.738,08_12_52
0.71,0.719,08_12_54
0.693,0.675,08_12_55
0.669,0.725,08_12_57
0.617,0.799,08_12_59
0.625,0.724,08_13_00
