khoảng cách trên,khoảng cách dưới
0.622,0.857,08_07_25
0.577,0.789,08_07_27
0.58,0.778,08_07_28
0.566,0.726,08_07_30
0.596,0.859,08_07_31
0.558,0.769,08_07_33
0.578,0.813,08_07_35
0.619,0.808,08_07_36
0.588,0.84,08_07_38
0.631,0.847,08_07_39
0.646,0.794,08_07_41
0.613,0.789,08_07_42
0.556,0.725,08_07_44
0.681,0.734,08_07_46
0.638,0.821,08_07_47
0.644,0.761,08_07_49
0.582,0.71,08_07_59
0.639,0.757,08_08_01
0.578,0.736,08_08_03
0.576,0.772,08_08_04
0.592,0.812,08_08_06
0.646,0.772,08_08_08
0.623,0.816,08_08_09
0.637,0.756,08_08_11
0.716,0.768,08_08_12
0.589,0.805,08_08_14
0.639,0.8,08_08_16
0.537,0.628,08_08_17
0.646,0.526,08_08_19
0.583,0.727,08_08_20
0.605,0.619,08_08_22
0.645,0.76,08_08_24
0.682,0.791,08_08_25
0.613,0.821,08_08_27
0.669,0.851,08_08_28
0.649,0.869,08_08_30
0.658,0.878,08_08_32
0.592,0.831,08_08_33
0.534,0.75,08_08_35
0.592,0.859,08_08_36
0.641,0.79,08_08_38
0.598,0.792,08_08_40
0.591,0.787,08_08_41
0.624,0.757,08_08_43
0.566,0.792,08_08_44
0.59,0.846,08_08_46
0.64,0.898,08_08_53
0.61,0.822,08_08_55
0.563,0.97,08_08_56
0.631,0.983,08_08_58
0.66,0.775,08_09_00
0.619,0.792,08_09_01
0.615,0.739,08_09_03
0.641,0.762,08_09_05
0.664,0.839,08_09_06
0.705,0.808,08_09_07
0.675,0.827,08_09_10
0.681,0.827,08_09_11
0.616,0.812,08_09_12
0.665,0.732,08_09_14
0.612,0.822,08_09_16
0.614,0.851,08_09_17
0.603,0.814,08_09_19
0.608,0.849,08_09_21
0.686,0.733,08_09_22
0.612,0.841,08_09_24
0.714,0.837,08_09_25
0.674,0.831,08_09_27
0.617,0.727,08_09_28
0.649,0.809,08_09_30
0.631,0.736,08_09_32
0.619,0.791,08_09_33
0.631,0.79,08_09_35
0.59,0.824,08_09_37
0.629,0.815,08_09_38
0.598,0.855,08_09_40
0.613,0.781,08_09_41
0.623,0.766,08_09_43
0.636,0.874,08_09_44
0.624,0.777,08_09_46
0.62,0.858,08_09_48
0.607,0.901,08_09_49
0.62,0.701,08_09_51
0.617,0.724,08_09_52
0.598,0.763,08_09_54
0.612,0.82,08_09_55
0.558,0.797,08_09_57
0.628,0.813,08_09_59
0.666,0.805,08_10_01
0.674,0.792,08_10_02
0.64,0.979,08_10_03
0.648,0.758,08_10_05
0.655,0.874,08_10_07
0.608,0.774,08_10_09
0.603,0.795,08_10_10
0.627,0.814,08_10_12
0.63,0.809,08_10_13
0.62,0.746,08_10_15
0.633,0.864,08_10_26
0.582,0.892,08_10_28
0.623,0.745,08_10_30
0.617,0.847,08_10_31
0.619,0.815,08_10_33
0.628,0.784,08_10_34
0.642,0.843,08_10_36
0.67,0.824,08_10_38
0.627,0.788,08_10_39
0.593,0.764,08_10_41
0.658,0.815,08_10_43
0.654,0.741,08_10_44
0.653,0.734,08_10_46
0.606,0.817,08_10_47
0.652,0.913,08_10_49
0.578,0.845,08_10_51
0.659,0.882,08_10_52
0.626,0.902,08_10_54
0.649,0.816,08_10_55
0.61,0.851,08_10_57
0.681,0.77,08_10_59
0.616,0.76,08_11_00
0.564,0.739,08_11_02
0.523,0.715,08_11_03
0.627,0.849,08_11_05
0.599,0.777,08_11_07
0.628,0.81,08_11_08
0.561,0.752,08_11_10
0.587,0.812,08_11_11
0.655,0.785,08_11_13
0.609,0.817,08_11_14
0.622,0.783,08_11_16
0.65,0.86,08_11_18
0.659,0.785,08_11_19
0.647,0.774,08_11_21
0.626,0.784,08_11_22
0.548,0.833,08_11_24
0.638,0.804,08_11_26
0.646,0.746,08_11_28
0.448,0.822,08_11_29
0.611,0.765,08_11_31
0.565,0.842,08_11_32
0.593,0.752,08_11_34
0.633,0.869,08_11_35
0.598,0.791,08_11_37
0.57,0.783,08_11_39
0.594,0.855,08_11_40
0.597,0.811,08_11_42
0.651,0.933,08_11_44
0.677,0.776,08_11_45
0.602,0.835,08_11_47
0.636,0.843,08_11_48
0.635,0.78,08_11_50
0.605,0.786,08_11_51
0.61,0.758,08_11_53
0.598,0.869,08_11_55
0.625,0.822,08_11_56
0.608,0.728,08_11_58
0.608,0.731,08_11_59
0.587,0.819,08_12_01
0.598,0.748,08_12_03
0.579,0.747,08_12_04
0.59,0.786,08_12_06
0.618,0.736,08_12_08
0.607,0.798,08_12_09
0.696,0.757,08_12_11
0.547,0.769,08_12_12
0.628,0.744,08_12_14
0.643,0.565,08_12_16
0.571,0.667,08_12_17
0.499,0.739,08_12_19
0.463,0.647,08_12_20
0.518,0.798,08_12_22
0.585,0.806,08_12_24
0.483,0.741,08_12_25
0.617,0.803,08_12_27
0.597,0.777,08_12_28
0.635,0.823,08_12_30
0.584,0,08_12_32
0.611,0.755,08_12_33
0.68,0.799,08_12_35
0.628,0.877,08_12_36
0.599,0.79,08_12_38
0.597,0.803,08_12_39
0.667,0.773,08_12_41
0.652,0.826,08_12_43
0.617,0.848,08_12_44
0.651,0.745,08_12_46
0.59,0.84,08_12_48
0.651,0.692,08_12_49
0.598,0.821,08_12_51
0.648,0.784,08_12_52
0.563,0.865,08_12_54
0.629,0.771,08_12_56
0.601,0.8,08_12_57
0.629,0.803,08_12_59
0.624,0.762,08_13_00
0.654,0.817,08_13_02
0.611,0.827,08_13_03
0.701,0.788,08_13_05
